,brand_id,campaign_name,domains,categories,domain
0,535,Riderly,"[""https://riderly.com""]",Travel compensation,riderly
1,137,Klook,"[""klook.com""]","Car & Bike rentals, Tours & Activities, Trains & Buses, Hotels & Accommodations, Car & Bike rentals, Tours & Activities, Trains & Buses, Hotels & Accommodations",klook
2,134,OYO,"[""www.oyohotels.com/us""]",Hotels & Accommodations,oyohotels
3,115,Georgia4travel,"[""georgia4travel.ru""]",Tours & Activities,georgia4travel
4,138,Busbud,"[""busbud.com""]",Trains & Buses,busbud
5,53,Strahovkaru.ru,"[""strahovkaru.ru""]",Insurance,strahovkaru
6,255,HSE DRIVE ,"[""https://hse-plateform.com""]",Transfers & Airport Services,plateform
7,44,12Go,"[""12go.asia"",""12go.co""]","Transfers & Airport Services, Trains & Buses",12go
8,258,SEARADAR,"[""https://searadar.ru/"",""https://searadar.com/"",""https://searadar.ru""]","Tours & Activities, Cruises",searadar
9,116,Trainline,"[""www.thetrainline.com""]",Trains & Buses,thetrainline
10,14,Weatlas,"[""weatlas.com""]",Tours & Activities,weatlas
11,128,Stayz AU,"[""stayz.com.au""]",Hotels & Accommodations,stayz
12,146,CheapOair,"[""cheapoair.com""]","Flights, Package Tours , Hotels & Accommodations",cheapoair
13,164,EatWith,"[""eatwith.com""]",Tours & Activities,eatwith
14,188,Alfa Bank,"[""https://alfabank.ru""]",Bank cards,alfabank
15,56,Tourex.me,"[""tourex.me""]",Tours & Activities,tourex
16,175,Tour operator “Delfin”,"[""delfin-tour.ru""]","Tours & Activities, Cruises, Hotels & Accommodations, Package Tours ",tour
17,154,Multitour,"[""multitour.ru""]","Package Tours , Hotels & Accommodations",multitour
18,104,Agoda,"[""agoda.com""]",Hotels & Accommodations,agoda
19,489,ТВИЛ.РУ,"[""https://tvil.ru""]",Hotels & Accommodations,tvil
20,156,Sanatory,"[""sanatory.ru""]",Package Tours ,sanatory
21,91,Omio,"[""omio.com"",""omio.ru"",""omio.co.uk"",""omio.fr"",""omio.es"",""omio.it"",""omio.cn"",""omio.pt"",""omio.se"",""omio.nl"",""omio.at"",""omio.be"",""fr.omio.be"",""omio.by"",""omio.com.ar"",""omio.com.br"",""omio.com.mx"",""omio.com.ua"",""omio.dk"",""omio.fi"",""omio.ie"",""omio.jp"",""omio.hr"",""omio.hu"",""omio.lv"",""omio.no"",""omio.se"",""omio.si"",""omio.sk"",""omio.tw"",""omio.kr"",""omio.cz""]","Trains & Buses, Flights",omio
22,166,Sletat.ru,"[""sletat.ru""]",Package Tours ,sletat
23,150,WeGoTrip,"[""wegotrip.com"",""wegotrip.ru""]",Tours & Activities,wegotrip
24,170,Putevka.com,"[""putevka.com""]",Package Tours ,putevka
25,100,Aviasales,"[""aviasales.ru"",""aviasales.com"",""jetradar.com"",""aviasales.kz"",""aviasales.ua"",""aviasales.az"",""aviasales.uz"",""aviasales.co.tz"",""aviasales.kg"",""aviasales.by"",""jetradar.de"",""jetradar.co.uk"",""jetradar.com.au"",""jetradar.co.nz"",""jetradar.sg"",""jetradar.in"",""jetradar.fr"",""jetradar.es"",""jetradar.it"",""jetradar.co.th"",""jetradar.pl"",""jetradar.pt"",""jetradar.com.br"",""jetradar.at"",""jetradar.be"",""jetradar.ch"",""jetradar.gr"",""jetradar.hk"",""jetradar.co.id"",""jetradar.co.il"",""jetradar.kr"",""jetradar.my"",""jetradar.mx"",""jetradar.co.nl"",""jetradar.ph"",""jetradar.vn"",""jetradar.co.za"",""jetradar.tw"",""aviasales.ge""]",Flights,aviasales
26,210,VIP-ZAL.RU,"[""https://vip-zal.ru/""]",Transfers & Airport Services,zal
27,209,Radical Storage,"[""https://radicalstorage.com/"",""https://radicalstorage.com/""]",Transfers & Airport Services,radicalstorage
28,89,Tiqets,"[""tiqets.com""]",Tours & Activities,tiqets
29,76,Autobus.Travel,"[""autobus.travel""]",Bus transportation,autobus
30,86,Compensair,"[""compensair.com""]",Flights,compensair
31,130,Rentalcars.com,"[""rentalcars.com""]",Car & Bike rentals,rentalcars
32,133,Big Bus Tours,"[""bigbustours.com""]",Tours & Activities,bigbustours
33,163,Expedia UK,"[""expedia.co.uk""]","Package Tours , Car & Bike rentals, Transfers & Airport Services, Tours & Activities, Hotels & Accommodations, Flights",expedia
34,147,GetTransfer,"[""gettransfer.com""]",Transfers & Airport Services,gettransfer
35,227,1001 тур,"[""https://one.www1.ratamanov.dev.1001tur.ru""]",Package Tours ,one
36,136,Flixbus US,"[""global.flixbus.com""]",Trains & Buses,global
37,118,Booking.com (RU),"[""booking.com""]",Hotels & Accommodations,booking
38,7,Localrent (RU),"[""localrent.com"",""https://localrent.com/ru/"",""https://myrentacar.com/ru/""]",Car & Bike rentals,localrent
39,160,Cruise Critic,"[""https://cruisecritic.com""]",Cruises,cruisecritic
40,153,VisitorsCoverage,"[""visitorscoverage.com""]",Insurance,visitorscoverage
41,182,Kruiz.Online,"[""kruiz.online""]",Cruises,kruiz
42,81,Dreamlines (RU),"[""dreamlines.ru""]",Cruises,dreamlines
43,92,HopaYacht,"[""hopayacht.com""]",Cruises,hopayacht
44,222,Getrentacar.com,"[""https://getrentacar.com""]",Car & Bike rentals,getrentacar
45,224,Yesim,"[""https://yesim.onelink.me/""]",SIM-cards,yesim
46,44,12Go,"[""12go.asia""]","Transfers & Airport Services, Trains & Buses",12go
47,143,"AutoEurope (EU,UK)","[""autoeurope.eu""]",Car & Bike rentals,autoeurope
48,165,Insubuy,"[""insubuy.com""]",Insurance,insubuy
49,172,QEEQ,"[""qeeq.com""]",Car & Bike rentals,qeeq
50,335,safarigo,"[""https://www.safarigo.com""]",Tours & Activities,safarigo
51,167,Sanatoriums.com,"[""https://sanatoriums.com""]",Package Tours ,sanatoriums
52,96,Blablacar Poland,"[""blablacar.pl""]",Carpooling,blablacar
53,43,OnlineTours.ru,"[""onlinetours.ru""]",Package Tours ,onlinetours
54,169,Bolshaya Strana,"[""bolshayastrana.com""]",Package Tours ,bolshayastrana
55,1,Kiwitaxi,"[""kiwitaxi.ru"",""kiwitaxi.com"",""tour.kiwitaxi.com"",""tour.kiwitaxi.ru""]","Transfers & Airport Services, Tours & Activities",kiwitaxi
56,117,Discover Cars,"[""discovercars.com""]",Car & Bike rentals,discovercars
57,55,Tripinsurance.ru,"[""tripinsurance.ru""]",Insurance,tripinsurance
58,24,Cherehapa.ru,"[""cherehapa.ru""]",Insurance,cherehapa
59,181,Bronevik,"[""bronevik.com/ru/""]",Hotels & Accommodations,bronevik
60,72,TicketNetwork,"[""ticketnetwork.com""]",Tours & Activities,ticketnetwork
61,141,TEZEKS,"[""tezeks.com""]",Tours & Activities,tezeks
62,362,Awayza,"[""https://awayza.ru""]",Package Tours ,awayza
63,58,Unitiki,"[""unitiki.com"",""unitiki.by""]",Trains & Buses,unitiki
64,93,Hostelworld,"[""hostelworld.com""]",Hotels & Accommodations,hostelworld
65,142,i'way,"[""iway.io""]",Transfers & Airport Services,iway
66,176,trivago US,"[""trivago.com""]",Hotels & Accommodations,trivago
67,108,GetYourGuide,"[""getyourguide.com"",""getyourguide.ru"",""getyourguide.dk"",""getyourguide.at"",""getyourguide.ch"",""getyourguide.co.uk"",""getyourguide.es"",""getyourguide.com.mx"",""getyourguide.fr"",""getyourguide.it"",""getyourguide.nl"",""getyourguide.no"",""getyourguide.pl"",""getyourguide.pt"",""getyourguide.com.br"",""getyourguide.fi"",""getyourguide.se"",""getyourguide.com.tr"",""getyourguide.com.jp"",""getyourguide.com.tw"",""getyourguide.co.kr"",""getyourguide.de""]",Tours & Activities,getyourguide
68,140,TEZ TOUR,"[""tourist.tez-tour.com""]","Package Tours , Car & Bike rentals, Transfers & Airport Services, Tours & Activities, Hotels & Accommodations",tourist
69,10,Economybookings.com,"[""economybookings.com""]",Car & Bike rentals,economybookings
70,193,Yandex.Travel,"[""https://travel.yandex.ru""]","Hotels & Accommodations, Trains & Buses, Hotels & Accommodations, Trains & Buses",travel
71,541,Airalo,"[""https://www.airalo.com""]",Other,airalo
72,225,EKTA,"[""https://ektatraveling.com/""]",Insurance,ektatraveling
73,52,Autoeurope (RU),"[""autoeurope.ru""]",Car & Bike rentals,autoeurope
74,84,Booking.com,"[""booking.com"",""sp.booking.com""]",Hotels & Accommodations,booking
75,62,Go City,"[""gocity.com""]",Tours & Activities,gocity
76,159,lovevacations,"[""lovevacations.com""]","Package Tours , Hotels & Accommodations",lovevacations
77,11,Tripster,"[""experience.tripster.ru""]","Tours & Activities, Package Tours ",experience
78,168,RVshare,"[""https://rvshare.com/""]","Car & Bike rentals, Hotels & Accommodations",rvshare
79,75,BlaBlaCar,"[""blablacar.ru""]","Bus transportation, Carpooling",blablacar
80,532,Blue Ribbon Bags,"[""https://www.blueribbonbags.com""]",Travel compensation,blueribbonbags
81,125,ItaliaRail,"[""italiarail.com""]",Trains & Buses,italiarail
82,144,Fewo-Direkt,"[""fewo-direkt.de""]",Hotels & Accommodations,direkt
83,101,Hotellook,"[""hotellook.com"",""hotellook.ru""]",Hotels & Accommodations,hotellook
84,47,Viator,"[""viator.com""]",Tours & Activities,viator
85,109,Rakuten Travel Experiences,"[""https://experiences.travel.rakuten.com""]","Tours & Activities, Trains & Buses",experiences
86,7,Localrent (RU),"[""https://localrent.com/ru/"",""https://myrentacar.com/ru/""]",Car & Bike rentals,localrent
87,189,PaulCamper,"[""paulcamper.co.uk""]",Car & Bike rentals,paulcamper
88,48,Busfor.ru,"[""busfor.ru"",""busfor.by""]",Bus transportation,busfor
89,459,Ostrovok.ru,"[""https://ostrovok.ru""]","Hotels & Accommodations, Hotels & Accommodations",ostrovok
90,29,LitRes.ru,"[""litres.ru""]",,litres
91,254,Thrillark,"[""https://www.thrillark.com""]",Tours & Activities,thrillark
92,200,WayAway,"[""https://wayaway.io""]",Flights,wayaway
93,129,HomeAway,"[""homeaway.com""]",Hotels & Accommodations,homeaway
94,127,Abritel,"[""abritel.fr""]",Hotels & Accommodations,abritel
95,326,Mapo Tapo,"[""https://www.mapotapo.com"",""https://www.mapotapo.com/rock-climbing-trips"",""https://www.mapotapo.com/ski-touring-trips"",""https://www.mapotapo.com/all-climbing-departures"",""https://www.mapotapo.com/sign-up-for-a-climbing-trip"",""https://www.mapotapo.com/unisciti-a-un-viaggio-darrampicata""]",Tours & Activities,mapotapo
96,186,Destra legal,"[""destralegal.ru""]",Other,destralegal
97,383,Алеан,"[""alean.ru""]","Package Tours , Hotels & Accommodations",alean
98,299,Аутобрандтест,"[""https://www.autobrandtest.ru""]",Car & Bike rentals,autobrandtest
99,87,Localrent.com,"[""https://localrent.com/en/""]",Car & Bike rentals,localrent
100,344,SuperTravel,"[""www.super.com/travel"",""www.livesuper.com/travel""]",Hotels & Accommodations,super
101,54,Misto.Travel,"[""misto.travel""]",Package Tours ,misto
102,18,Travelata,"[""travelata.ru""]","Package Tours , Hotels & Accommodations",travelata
103,57,BikesBooking.com,"[""bikesbooking.com""]",Car & Bike rentals,bikesbooking
104,185,Youtravel,"[""youtravel.me"",""tripsider.com""]","Tours & Activities, Package Tours ",youtravel
105,90,"AutoEurope (US,CA)","[""autoeurope.com"",""autoeurope.ca""]",Car & Bike rentals,autoeurope
106,370,VisaExpress,"[""https://staging.visaexpress.us.com""]",Other,staging
107,135,Poezd.ru,"[""poezd.ru""]",Trains & Buses,poezd
108,21,Sputnik8,"[""sputnik8.com""]",Tours & Activities,sputnik8
109,57,BikesBooking.com,"[""https://bikesbooking.com/"",""bikesbooking.com""]",Car & Bike rentals,bikesbooking
110,17,Cruise House (RU),"[""mcruises.ru""]",Cruises,mcruises
111,212,Intourist,"[""https://intourist.ru""]","Package Tours , Cruises, Hotels & Accommodations",intourist
112,174,TUI Russia,"[""fstravel.com""]",Package Tours ,fstravel
113,177,trivago RU,"[""trivago.ru""]",Hotels & Accommodations,trivago
114,371,Индривер,"[""https://intercity-web.env04.k8s.test.idmp.tech""]","Transfers & Airport Services, Carpooling",web
115,184,Lifetime,"[""https://www.lifetime.plus""]",Other,lifetime
116,83,Musement,"[""musement.com""]",Tours & Activities,musement
117,258,SEARADAR,"[""https://searadar.ru""]","Tours & Activities, Cruises",searadar
118,112,Hotels.com,"[""hotels.com""]",Hotels & Accommodations,hotels
119,183,Ticketmaster,"[""https://ticketmaster-au.tm7566.net"",""https://ticketmaster-at.tm8116.net"",""https://ticketmaster-be.tm7522.net"",""https://ticketmaster-cz.tm9743.net"",""https://ticketmaster-dk.tm7521.net"",""https://ticketmaster-fi.tm7520.net"",""https://ticketmaster-fr.tm7516.net"",""https://ticketmaster-de.tm7514.net"",""https://ticketmaster-ie.tm7512.net"",""https://ticketmasteritalia.46uy.net"",""https://ticketmaster-nl.tm7510.net"",""https://ticketmaster-no.tm8215.net"",""https://ticketmaster-pl.tm8185.net"",""https://ticketmaster-ch.tm8186.net"",""https://ticketmaster-es.tm7508.net"",""https://ticketmaster-se.tm7505.net"",""https://ticketmaster-uk.tm7559.net"",""https://ticketmaster.evyy.net""]",Tours & Activities,au
120,69,Rail Europe,"[""www.raileurope.com"",""www.raileurope.com.ar"",""www.raileurope.com.au"",""www.raileurope-gcc.com"",""www.raileurope.com.sg"",""www.raileurope.com.bo"",""www.raileurope.com.br"",""www.raileurope.co.za"",""www.raileurope.cl"",""www.raileurope.cn"",""www.raileurope-colombia.com"",""www.raileurope.com.ec"",""www.raileurope.hk"",""www.raileurope.com.sg"",""www.raileurope.co.il"",""www.raileurope.co.in"",""www.raileurope-gcc.com"",""www.raileurope-gcc.com"",""www.raileurope-japan.com"",""www.raileurope.co.kr"",""www.raileurope-gcc.com"",""www.raileurope.co.za"",""www.raileurope.co.za"",""www.raileurope.com.sg"",""www.raileurope.co.za"",""www.raileurope-nz.com"",""www.raileurope-gcc.com"",""www.raileurope.com.pe"",""www.raileurope.com.py"",""www.raileurope-gcc.com"",""www.raileurope-gcc.com"",""www.raileurope.com.sg"",""www.raileurope.co.za"",""www.raileurope.com.tw"",""www.raileurope-gcc.com"",""www.raileurope.co.th"",""www.raileurope.com.uy"",""www.raileurope.com.ve"",""www.raileurope-gcc.com"",""www.raileurope.co.za"",""www.raileurope.co.za"",""www.raileurope.co.za"",""www.raileurope-world.com""]",Trains & Buses,raileurope
121,544,101хотелс.цом,"[""https://101hotels.com""]",Hotels & Accommodations,101hotels
122,409,Cadyshack Tours (pvt) Ltd ,"[""https://www.cadyshacktours.com""]","Package Tours , Transfers & Airport Services, Bus transportation, Tours & Activities, Other, Hotels & Accommodations, Trains & Buses",cadyshacktours
123,149,Tripadvisor,"[""tripadvisor.com""]","Tours & Activities, Hotels & Accommodations",tripadvisor
124,171,Mir Turbaz,"[""mirturbaz.ru"",""kurortix.ru""]",Hotels & Accommodations,mirturbaz
125,102,Drimsim,"[""drimsim.com""]",Other,drimsim
126,126,Vrbo,"[""vrbo.com""]",Hotels & Accommodations,vrbo
127,99,Sutochno.ru,"[""sutochno.ru""]",Hotels & Accommodations,sutochno
128,26,Level.travel,"[""level.travel""]","Package Tours , Hotels & Accommodations",level
129,145,Vrbo,"[""www.vrbo.com/en-gb/""]",Hotels & Accommodations,vrbo
130,151,Aviasales for Business,"[""b2b.aviasales.ru""]",Flights,b2b
131,22,intui.travel,"[""intui.travel""]",Transfers & Airport Services,intui
132,49,Sravni.ru,"[""sravni.ru""]",Insurance,sravni
133,158,loveholidays,"[""loveholidays.com""]","Package Tours , Hotels & Accommodations",loveholidays
134,97,Flixbus RU / CIS,"[""flixbus.ru""]",Bus transportation,flixbus
135,45,Tutu.ru,"[""tutu.ru"",""tutu.travel""]","Trains & Buses, Flights",tutu
